"Local", "Percentual das receitas oriundas de fontes externas"
"Açailândia", 74.8
"Afonso Cunha", 96.3
"Água Doce do Maranhão", 0
"Alcântara", 96.1
"Aldeias Altas", 97.1
"Altamira do Maranhão", 97.6
"Alto Alegre do Maranhão", 95.4
"Alto Alegre do Pindaré", 90.2
"Alto Parnaíba", 94.8
"Amapá do Maranhão", 96.5
"Amarante do Maranhão", 95.9
"Anajatuba", 0
"Anapurus", 0
"Apicum-Açu", 96.7
"Araguanã", 97.7
"Araioses", 0
"Arame", 97.7
"Arari", 0
"Axixá", 97.7
"Bacabal", 92.8
"Bacabeira", 72.8
"Bacuri", 98.8
"Bacurituba", 96.2
"Balsas", 88.1
"Barão de Grajaú", 97.5
"Barra do Corda", 95.4
"Barreirinhas", 88.5
"Belágua", 98.7
"Bela Vista do Maranhão", 98.6
"Benedito Leite", 0
"Bequimão", 97.1
"Bernardo do Mearim", 96.2
"Boa Vista do Gurupi", 98.9
"Bom Jardim", 0
"Bom Jesus das Selvas", 0
"Bom Lugar", 97.6
"Brejo", 97.3
"Brejo de Areia", 0
"Buriti", 98.4
"Buriti Bravo", 98.3
"Buriticupu", 80.6
"Buritirana", 96.9
"Cachoeira Grande", 97.4
"Cajapió", 98.8
"Cajari", 98.5
"Campestre do Maranhão", 94.7
"Cândido Mendes", 97.8
"Cantanhede", 87.5
"Capinzal do Norte", 84.8
"Carolina", 0
"Carutapera", 0
"Caxias", 86
"Cedral", 96.9
"Central do Maranhão", 0
"Centro do Guilherme", 96.6
"Centro Novo do Maranhão", 0
"Chapadinha", 91.1
"Cidelândia", 86.6
"Codó", 91.9
"Coelho Neto", 94
"Colinas", 94.8
"Conceição do Lago-Açu", 99.1
"Coroatá", 0
"Cururupu", 0.1
"Davinópolis", 92.4
"Dom Pedro", 94.8
"Duque Bacelar", 0
"Esperantinópolis", 94.6
"Estreito", 93
"Feira Nova do Maranhão", 95.3
"Fernando Falcão", 94
"Formosa da Serra Negra", 0
"Fortaleza dos Nogueiras", 95.1
"Fortuna", 95.8
"Godofredo Viana", 90.5
"Gonçalves Dias", 96.6
"Governador Archer", 95.8
"Governador Edison Lobão", 0
"Governador Eugênio Barros", 0
"Governador Luiz Rocha", 98.3
"Governador Newton Bello", 0
"Governador Nunes Freire", 98.9
"Graça Aranha", 96.2
"Grajaú", 95.3
"Guimarães", 99.2
"Humberto de Campos", 97.3
"Icatu", 97
"Igarapé do Meio", 94.9
"Igarapé Grande", 97.4
"Imperatriz", 0
"Itaipava do Grajaú", 0
"Itapecuru Mirim", 90.7
"Itinga do Maranhão", 87.5
"Jatobá", 0
"Jenipapo dos Vieiras", 96.9
"João Lisboa", 95.9
"Joselândia", 0
"Junco do Maranhão", 97.7
"Lago da Pedra", 94.8
"Lago do Junco", 98.7
"Lago Verde", 0
"Lagoa do Mato", 94.1
"Lago dos Rodrigues", 97.1
"Lagoa Grande do Maranhão", 94.2
"Lajeado Novo", 97.9
"Lima Campos", 74
"Loreto", 94.7
"Luís Domingues", 0
"Magalhães de Almeida", 96.4
"Maracaçumé", 97.2
"Marajá do Sena", 0
"Maranhãozinho", 96.1
"Mata Roma", 98.5
"Matinha", 96.5
"Matões", 0
"Matões do Norte", 95.2
"Milagres do Maranhão", 99.1
"Mirador", 96.1
"Miranda do Norte", 93.5
"Mirinzal", 0
"Monção", 96.7
"Montes Altos", 0
"Morros", 0
"Nina Rodrigues", 0
"Nova Colinas", 95.7
"Nova Iorque", 0
"Nova Olinda do Maranhão", 0
"Olho d'Água das Cunhãs", 98.6
"Olinda Nova do Maranhão", 95.4
"Paço do Lumiar", 83.7
"Palmeirândia", 97.3
"Paraibano", 96.8
"Parnarama", 0
"Passagem Franca", 96.9
"Pastos Bons", 97.9
"Paulino Neves", 97.6
"Paulo Ramos", 95.5
"Pedreiras", 84.3
"Pedro do Rosário", 98.1
"Penalva", 98.1
"Peri Mirim", 97.3
"Peritoró", 0
"Pindaré-Mirim", 95
"Pinheiro", 91.4
"Pio XII", 97.2
"Pirapemas", 96.1
"Poção de Pedras", 97.8
"Porto Franco", 0
"Porto Rico do Maranhão", 96.9
"Presidente Dutra", 89.4
"Presidente Juscelino", 97.8
"Presidente Médici", 97.3
"Presidente Sarney", 95.7
"Presidente Vargas", 98.6
"Primeira Cruz", 0
"Raposa", 90.4
"Riachão", 89.4
"Ribamar Fiquene", 95
"Rosário", 92.7
"Sambaíba", 95.4
"Santa Filomena do Maranhão", 98.3
"Santa Helena", 88
"Santa Inês", 88
"Santa Luzia", 90.8
"Santa Luzia do Paruá", 96
"Santa Quitéria do Maranhão", 0
"Santa Rita", 90.3
"Santana do Maranhão", 0
"Santo Amaro do Maranhão", 97.5
"Santo Antônio dos Lopes", 0
"São Benedito do Rio Preto", 98.6
"São Bento", 97.7
"São Bernardo", 94.8
"São Domingos do Azeitão", 0
"São Domingos do Maranhão", 95.4
"São Félix de Balsas", 95.2
"São Francisco do Brejão", 88.3
"São Francisco do Maranhão", 0
"São João Batista", 97.8
"São João do Carú", 0
"São João do Paraíso", 0
"São João do Soter", 96.4
"São João dos Patos", 0
"São José de Ribamar", 77.4
"São José dos Basílios", 96.6
"São Luís", 59.3
"São Luís Gonzaga do Maranhão", 94.5
"São Mateus do Maranhão", 95.2
"São Pedro da Água Branca", 72.5
"São Pedro dos Crentes", 95.1
"São Raimundo das Mangabeiras", 95.6
"São Raimundo do Doca Bezerra", 0
"São Roberto", 96.1
"São Vicente Ferrer", 96.5
"Satubinha", 94.2
"Senador Alexandre Costa", 99.3
"Senador La Rocque", 96.9
"Serrano do Maranhão", 98.2
"Sítio Novo", 93.1
"Sucupira do Norte", 0
"Sucupira do Riachão", 98.5
"Tasso Fragoso", 0
"Timbiras", 90.8
"Timon", 84.7
"Trizidela do Vale", 96.2
"Tufilândia", 0
"Tuntum", 95.6
"Turiaçu", 0
"Turilândia", 97.9
"Tutóia", 0
"Urbano Santos", 98.3
"Vargem Grande", 0
"Viana", 94.8
"Vila Nova dos Martírios", 93.5
"Vitória do Mearim", 91.5
"Vitorino Freire", 0
"Zé Doca", 96.2
