Municipio;Total
110001;3314
110002;22020
110003;894
110004;20645
110005;3214
110006;2675
110007;1967
110008;1142
110009;5675
110010;5018
110011;11763
110012;32288
110013;3865
110014;2156
110015;6595
110018;11059
110020;133203
110025;3233
110026;924
110028;14062
110029;1063
110030;29511
110032;4095
110033;2532
110034;1499
110037;1250
110040;1601
110045;4318
110050;1152
110060;623
110070;1066
110080;3311
110090;613
110092;3383
110094;1931
110100;925
110110;1637
110120;1245
110130;1486
110140;1534
110143;751
110145;833
110146;699
110147;576
110148;711
110149;2146
110150;1449
110155;513
110160;899
110170;1704
110175;818
110180;781
120001;1093
120005;768
120010;3246
120013;1856
120017;793
120020;12992
120025;2517
120030;2497
120032;667
120033;1017
120034;632
120035;1239
120038;2680
120039;804
120040;127692
120042;303
120043;1019
120045;2654
120050;3283
120060;2970
120070;869
120080;1723
130002;1461
130006;696
130008;866
130010;1079
130014;978
130020;1763
130030;2114
130040;227
130050;989
130060;2849
130063;1413
130068;115
130070;6022
130080;3510
130083;1208
130090;827
130100;1355
130110;6187
130115;1795
130120;8696
130130;1727
130140;1625
130150;1709
130160;3404
130165;114
130170;3136
130180;582
130185;10407
130190;10983
130195;489
130200;733
130210;1379
130220;1697
130230;823
130240;2532
130250;9935
130255;1065
130260;605154
130270;3737
130280;1720
130290;4051
130300;1232
130310;3560
130320;1578
130330;1287
130340;10751
130350;58
130353;6476
130356;2507
130360;29
130370;3934
130380;2723
130390;1619
130395;662
130400;654
130406;6309
130410;105
130420;9482
130423;3534
130426;282
130430;1088
130440;1758
140002;795
140005;1004
140010;105202
140015;1570
140017;2018
140020;1511
140023;659
140028;605
140030;1637
140040;1828
140045;2091
140047;4624
140050;1429
140060;616
140070;293
150010;15001
150013;689
150020;5432
150030;2035
150034;3542
150040;3235
150050;3496
150060;16875
150070;1651
150080;82211
150085;3144
150090;4544
150095;1273
150100;747
150110;808
150120;1718
150125;669
150130;36848
150140;420206
150145;2027
150150;14448
150157;2082
150160;1765
150170;10581
150172;1269
150175;326
150178;3860
150180;8958
150190;1768
150195;373
150200;3305
150210;8558
150215;32137
