Municipio;Total
110001;8286906,41000012
110002;58044447,7099997
110003;2104601,15000002
110004;51719980,15
110005;8441708,04000004
110006;6596194,30999993
110007;5773209,13999995
110008;2833424,44999989
110009;12839944,99
110010;11567707,7899999
110011;30812760,5599999
110012;76789290,4999999
110013;8795353,78999985
110014;5707267,15
110015;16892667,05
110018;26367402,5499999
110020;417102466,579997
110025;7677325,41999992
110026;2524272,30999998
110028;32962352,8100004
110029;2618336,75
110030;80513554,7999991
110032;10167894,69
110033;5861445,02
110034;3573649,40000014
110037;3534372,94000001
110040;4406212,01000003
110045;10350923,3300001
110050;2444497,09000011
110060;1974274,19999997
110070;3198417,96999987
110080;8401606,58000002
110090;1258901,13999997
110092;9336844,77000023
110094;4969673,18999996
110100;2033666,43999996
110110;4252713,11999992
110120;3040202,40000002
110130;3411312,64999997
110140;4027348,44999989
110143;1470787,43999997
110145;2302643,96999998
110146;2064305,77000006
110147;1336561,82999996
110148;1863914,96000001
110149;5787518,92999988
110150;3549047,45000005
110155;1213329,28999992
110160;2303489,66999998
110170;3927624,59999995
110175;1954815,83999998
110180;1892639,76999996
120001;3042148,41999994
120005;341396,729999995
120010;7429261,02999995
120013;2795741,85000003
120017;2222200,11000004
120020;20034656,21
120025;3850202,05000004
120030;5953822,73000009
120032;1614628,58999995
120033;532243,819999984
120034;2081087,38000002
120035;3085551,27000007
120038;3880936,97999993
120039;2150263,96000008
120040;482852506,24
120042;776251,500000003
120043;1307068,83000001
120045;4897524,99000001
120050;7421681,65999969
120060;8575415,27999991
120070;1699679,55999999
120080;3559170,21000008
130002;3098716,62000008
130006;1496590,96999994
130008;1435979,09999998
130010;2793597,32000013
130014;2506271,51999998
130020;4233291,70999986
130030;960459,060000001
130040;513691,020000021
130050;2645119,52999997
130060;7531299,73999991
130063;3834684,63999987
130068;196542,420000002
130070;6881902,22999989
130080;6686000,10000018
130083;95966,299999997
130090;1250323,56000002
130100;3039296,6799999
130110;8151136,11000001
130115;3145050,71
130120;28370239,2000002
130130;4076369,8399999
130140;4289707,20999997
130150;3437949,03999997
130160;2220894,69999997
130165;218197,390000001
130170;5592835,8000001
130180;1028302,85999995
130185;9744868,16000002
130190;16152543,4000001
130195;670997,460000023
130200;1741400,53999993
130210;2665156,3499999
130220;2014913,04999994
130230;1185579,30000038
130240;6684977,82999945
130250;21119211,9799992
130255;2402294,02000006
130260;2148192170,66
130270;2421977,63
130280;2817508,27999998
130290;9188030,18999965
130300;2761604,52
130310;4789996,40999984
130320;3933749,04000012
130330;2818905,59999999
130340;20405721,0500012
130350;169494,619999999
130353;24766795,4100002
130356;6024479,23
130360;77098,3400000036
